M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,19,Nasir ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,11,0,13,24,45.83,6,3,9,33.33,0,0,3,3,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,21,YASEEN ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,1,3,33.33,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,24,AHMAD ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,1,Salman ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,7,Usman ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,10,Fahad Raza,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,11,Murad ,-,O,1,1,0,0,-,-33.33,1,2,3,6,-16.67,0,1,0,1,-100,0,1,1,2,-50,0,0,0,0,-,1,0,1,100,0,0,2,2,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,13,Kashif ,-,S,0,0,0,0,-,-20,0,0,0,0,-,0,1,0,1,-100,0,0,4,4,0,0,0,0,0,-,3,1,4,50,7,0,13,20,35
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,14,Zaheer ,-,MB,0,0,0,0,-,-7.14,0,0,2,2,0,0,0,4,4,0,0,1,7,8,-12.5,0,0,0,0,-,0,0,0,-,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,15,Murad,C,OH,6,5,1,0,-,41.67,5,1,3,9,44.44,1,0,0,1,100,0,0,2,2,0,2,0,4,6,33.33,5,0,5,100,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,16,Afaq ,-,OH,6,6,0,0,-,41.67,6,1,1,8,62.5,0,0,0,0,-,0,0,4,4,0,3,0,1,4,75,1,1,3,0,0,0,3,3,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,17,Hamid ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,18,Musawer ,-,MB,4,2,2,0,-,8.33,2,1,0,3,33.33,2,2,1,5,0,0,0,4,4,0,0,0,0,0,-,1,0,1,100,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,19,Nasir ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,4,0,2,6,66.67,3,1,4,50,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,21,YASEEN ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,1,24,AHMAD ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,1,Salman ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,7,Usman ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,10,Fahad Raza,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,1,100,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,11,Murad ,-,O,4,3,1,0,-,20,3,1,1,5,40,1,0,1,2,50,0,1,2,3,-33.33,0,0,0,0,-,1,0,3,33.33,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,13,Kashif ,-,S,0,0,0,0,-,-25,0,0,0,0,-,0,1,1,2,-50,0,0,2,2,0,0,0,0,0,-,1,2,5,-20,0,0,18,18,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,14,Zaheer ,-,MB,2,1,0,1,-,14.29,1,0,0,1,100,0,1,0,1,-100,1,0,4,5,20,0,0,0,0,-,1,0,2,50,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,15,Murad,C,OH,2,2,0,0,-,16.67,2,0,4,6,33.33,0,0,0,0,-,0,0,6,6,0,2,0,1,3,66.67,2,1,4,25,0,0,2,2,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,16,Afaq ,-,OH,7,4,1,2,-,43.75,4,0,6,10,40,1,0,0,1,100,2,0,3,5,40,0,0,0,0,-,1,0,1,100,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,17,Hamid ,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,1,0,1,100,0,0,3,3,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,18,Musawer ,-,MB,6,4,2,0,-,50,4,0,1,5,80,2,0,0,2,100,0,1,2,3,-33.33,0,0,0,0,-,1,0,1,100,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,19,Nasir ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,4,0,4,8,50,0,1,1,-100,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,21,YASEEN ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,2,24,AHMAD ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,1,Salman ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,7,Usman ,-,OH,0,0,0,0,-,-100,0,0,0,0,-,0,0,0,0,-,0,1,0,1,-100,0,0,2,2,0,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,10,Fahad Raza,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,11,Murad ,-,O,5,4,1,0,-,0,4,2,2,8,25,1,2,0,3,-33.33,0,1,2,3,-33.33,0,0,0,0,-,2,2,4,0,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,13,Kashif ,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,0,0,1,1,0,1,0,1,100,1,0,16,17,5.88
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,14,Zaheer ,-,MB,2,1,1,0,-,12.5,1,1,1,3,0,1,0,0,1,100,0,0,4,4,0,0,0,0,0,-,2,0,3,66.67,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,15,Murad,C,OH,1,1,0,0,-,0,1,1,3,5,0,0,0,0,0,-,0,0,2,2,0,1,0,5,6,16.67,0,0,0,-,0,0,2,2,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,16,Afaq ,-,OH,1,1,0,0,-,-25,1,1,6,8,0,0,1,0,1,-100,0,2,1,3,-66.67,0,0,3,3,0,1,0,1,100,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,17,Hamid ,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,3,0,3,6,50
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,18,Musawer ,-,MB,2,2,0,0,-,33.33,2,0,1,3,66.67,0,0,1,1,0,0,0,2,2,0,0,0,0,0,-,0,0,1,0,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,19,Nasir ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,3,0,4,7,42.86,1,1,2,0,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,21,YASEEN ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,3,24,AHMAD ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,1,Salman ,-,OH,3,1,2,0,-,9.09,1,1,2,4,0,2,1,0,3,33.33,0,0,4,4,0,3,1,5,9,22.22,3,1,4,50,0,0,3,3,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,7,Usman ,-,OH,4,4,0,0,-,5,4,1,6,11,27.27,0,1,1,2,-50,0,1,6,7,-14.29,1,0,2,3,33.33,0,0,0,-,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,10,Fahad Raza,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,11,Murad ,-,O,4,3,1,0,-,0,3,2,3,8,12.5,1,2,2,5,-20,0,0,3,3,0,0,0,0,0,-,0,0,0,-,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,13,Kashif ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,4,4,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,14,Zaheer ,-,MB,2,1,1,0,-,22.22,1,0,1,2,50,1,0,2,3,33.33,0,0,4,4,0,0,0,0,0,-,2,0,2,100,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,15,Murad,C,OH,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,3,3,0,0,0,0,-,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,16,Afaq ,-,OH,0,0,0,0,-,-66.67,0,2,1,3,-66.67,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,17,Hamid ,-,S,1,0,1,0,-,0,0,0,0,0,-,1,1,1,3,0,0,0,2,2,0,0,0,0,0,-,3,1,5,40,2,0,15,17,11.76
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,18,Musawer ,-,MB,2,2,0,0,-,0,2,0,0,2,100,0,2,0,2,-100,0,0,4,4,0,0,0,0,0,-,1,0,1,100,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,19,Nasir ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,3,3,0,2,0,2,100,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,21,YASEEN ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,1,3,33.33,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,4,24,AHMAD ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18 ,12 ,25 ,22 ,-,25 ,25 ,18 ,25 ,-,ALL,2,Ybanez ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,0,4,6,33.33,8,3,12,41.67,0,0,10,10,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18 ,12 ,25 ,22 ,-,25 ,25 ,18 ,25 ,-,ALL,3,Retamar ,-,S,1,1,0,0,-,-27.27,1,0,0,1,100,0,4,2,6,-66.67,0,0,4,4,0,0,0,0,0,-,8,2,11,54.55,7,0,29,36,19.44
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18 ,12 ,25 ,22 ,-,25 ,25 ,18 ,25 ,-,ALL,5,Rotter ,-,O,10,7,2,1,-,7.69,7,4,6,17,17.65,2,1,0,3,33.33,1,3,2,6,-33.33,0,0,0,0,-,1,3,4,-50,1,0,4,5,20
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18 ,12 ,25 ,22 ,-,25 ,25 ,18 ,25 ,-,ALL,6,Reed ,-,OH,4,4,0,0,-,-13.04,4,4,7,15,0,0,0,1,1,0,0,3,4,7,-42.86,6,1,6,13,38.46,4,2,6,33.33,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18 ,12 ,25 ,22 ,-,25 ,25 ,18 ,25 ,-,ALL,7,Malabunga ,-,MB,2,2,0,0,-,0,2,2,0,4,0,0,0,1,1,0,0,0,6,6,0,0,0,0,0,-,0,0,1,0,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18 ,12 ,25 ,22 ,-,25 ,25 ,18 ,25 ,-,ALL,8,Bugaoan ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18 ,12 ,25 ,22 ,-,25 ,25 ,18 ,25 ,-,ALL,13,Kalingking ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,8,9,11.11,4,1,6,50,0,0,5,5,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18 ,12 ,25 ,22 ,-,25 ,25 ,18 ,25 ,-,ALL,15,Espejo,C,OH,1,1,0,0,-,-27.27,1,3,5,9,-22.22,0,0,0,0,-,0,1,1,2,-50,6,0,12,18,33.33,1,0,2,50,0,0,0,0,-
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18 ,12 ,25 ,22 ,-,25 ,25 ,18 ,25 ,-,ALL,16,Taguibolos ,-,MB,5,3,1,1,-,11.76,3,0,4,7,42.86,1,1,3,5,0,1,0,21,22,4.55,0,0,0,0,-,2,2,4,0,0,0,2,2,0
