M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Korea,Bahrain,2,3,21,23,25,25,13,25,25,21,18,15,3,8 ,24,17,22,20,17,3,0,,17,2,7,26,3,7,6,16,0,3,22,25,5,1,12,18,7,2,15,5,0,22,27
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Korea,Bahrain,2,3,21,23,25,25,13,25,25,21,18,15,4,10 ,25,15,18,17,13,3,1,,13,5,5,23,3,6,3,12,1,1,22,24,3,1,10,14,10,1,11,5,0,18,23
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Korea,Bahrain,2,3,21,23,25,25,13,25,25,21,18,15,5,3 ,13,10,15,11,10,1,0,,10,1,9,20,1,3,2,6,0,2,12,14,4,0,8,12,5,6,13,1,0,15,16
Men,2025,22,2025/6/23,Semi_Finals,-,Manama,Bahrain,Pakistan,Qatar,3,0,25,25,25,-,-,22,22,21,-,-,ALL,29 ,74,46,66,55,47,7,1,,47,7,46,100,7,19,24,50,1,11,62,74,9,2,45,56,49,12,68,5,1,98,104
Men,2025,22,2025/6/23,Semi_Finals,-,Manama,Bahrain,Pakistan,Qatar,3,0,25,25,25,-,-,22,22,21,-,-,1,9 ,25,16,22,18,15,3,0,,15,3,15,33,3,4,7,14,0,5,20,25,5,0,15,20,13,4,20,3,1,29,33
Men,2025,22,2025/6/23,Semi_Finals,-,Manama,Bahrain,Pakistan,Qatar,3,0,25,25,25,-,-,22,22,21,-,-,2,7 ,24,18,23,18,17,1,0,,17,1,17,35,1,8,8,17,0,3,21,24,4,0,13,17,18,4,25,2,0,33,35
Men,2025,22,2025/6/23,Semi_Finals,-,Manama,Bahrain,Pakistan,Qatar,3,0,25,25,25,-,-,22,22,21,-,-,3,13 ,25,12,21,19,15,3,1,,15,3,14,32,3,7,9,19,1,3,21,25,0,2,17,19,18,4,23,0,0,36,36
Men,2025,22,2025/6/23,Semi_Finals,-,Manama,Bahrain,Qatar,Pakistan,0,3,22,22,21,-,-,25,25,25,-,-,ALL,20 ,66,45,74,48,41,5,2,,41,14,52,107,5,23,22,50,2,10,54,66,15,1,47,63,39,12,60,16,0,89,105
Men,2025,22,2025/6/23,Semi_Finals,-,Manama,Bahrain,Qatar,Pakistan,0,3,22,22,21,-,-,25,25,25,-,-,1,6 ,22,16,25,14,13,1,0,,13,6,13,32,1,7,5,13,0,2,20,22,7,0,13,20,11,4,17,7,0,25,32
Men,2025,22,2025/6/23,Semi_Finals,-,Manama,Bahrain,Qatar,Pakistan,0,3,22,22,21,-,-,25,25,25,-,-,2,5 ,23,17,24,18,17,1,0,,17,1,20,38,1,8,8,17,0,6,17,23,3,0,18,21,15,6,24,7,0,30,37
Men,2025,22,2025/6/23,Semi_Finals,-,Manama,Bahrain,Qatar,Pakistan,0,3,22,22,21,-,-,25,25,25,-,-,3,9 ,21,12,25,16,11,3,2,,11,7,19,37,3,8,9,20,2,2,17,21,5,1,16,22,13,2,19,2,0,34,36
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,Philippines,New Zealand,3,1,25,23,25,25,-,16,25,11,22,-,ALL,35 ,97,63,75,67,58,5,4,,58,9,42,109,5,19,33,57,4,17,76,97,23,3,32,58,51,11,75,28,1,77,106
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,Philippines,New Zealand,3,1,25,23,25,25,-,16,25,11,22,-,1,9 ,24,16,17,19,17,0,2,,17,1,6,24,0,5,8,13,2,1,21,24,6,0,6,12,11,5,19,10,0,10,20
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,Philippines,New Zealand,3,1,25,23,25,25,-,16,25,11,22,-,2,6 ,24,17,24,13,11,2,0,,11,5,12,28,2,8,9,19,0,6,18,24,3,1,14,18,15,1,17,7,1,25,33
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,Philippines,New Zealand,3,1,25,23,25,25,-,16,25,11,22,-,3,13 ,24,12,12,17,14,1,2,,14,0,14,28,1,3,10,14,2,4,18,24,7,0,4,11,12,3,19,5,0,18,23
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,Philippines,New Zealand,3,1,25,23,25,25,-,16,25,11,22,-,4,7 ,25,18,22,18,16,2,0,,16,3,10,29,2,3,6,11,0,6,19,25,7,2,8,17,13,2,20,6,0,24,30
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,New Zealand,Philippines,1,3,16,25,11,22,-,25,23,25,25,-,ALL,12 ,75,62,97,52,42,7,3,,42,16,53,111,7,21,19,47,3,17,55,75,25,4,51,80,34,15,63,15,1,93,109
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,New Zealand,Philippines,1,3,16,25,11,22,-,25,23,25,25,-,1,1 ,17,15,24,14,13,1,0,,13,1,11,25,1,4,3,8,0,5,12,17,5,2,16,23,4,7,11,1,0,22,23
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,New Zealand,Philippines,1,3,16,25,11,22,-,25,23,25,25,-,2,7 ,24,18,24,17,12,4,1,,12,6,12,30,4,5,3,12,1,6,17,24,8,0,10,18,12,2,18,4,0,26,30
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,New Zealand,Philippines,1,3,16,25,11,22,-,25,23,25,25,-,3,0 ,12,11,24,6,6,0,0,,6,6,15,27,0,7,6,13,0,1,11,12,5,2,13,20,11,3,17,4,0,24,28
Men,2025,23,2025/6/24,9th-11th,-,Manama,Bahrain,New Zealand,Philippines,1,3,16,25,11,22,-,25,23,25,25,-,4,4 ,22,18,25,15,11,2,2,,11,3,15,29,2,5,7,14,2,5,15,22,7,0,12,19,7,3,17,6,1,21,28
Men,2025,24,2025/6/24,Final_3-4,-,Manama,Bahrain,Korea,Qatar,0,3,21,20,23,-,-,25,25,25,-,-,ALL,21 ,65,43,74,46,40,3,3,,40,21,26,87,3,14,12,29,3,16,47,66,22,2,38,62,25,6,36,15,0,73,88
Men,2025,24,2025/6/24,Final_3-4,-,Manama,Bahrain,Korea,Qatar,0,3,21,20,23,-,-,25,25,25,-,-,1,7 ,21,14,25,14,12,1,1,,12,6,8,26,1,7,1,9,1,5,16,22,10,0,10,20,5,1,8,4,0,23,27
Men,2025,24,2025/6/24,Final_3-4,-,Manama,Bahrain,Korea,Qatar,0,3,21,20,23,-,-,25,25,25,-,-,2,7 ,21,13,24,12,11,0,1,,11,6,13,30,0,4,7,11,1,4,15,20,4,2,14,20,13,4,18,6,0,26,32
Men,2025,24,2025/6/24,Final_3-4,-,Manama,Bahrain,Korea,Qatar,0,3,21,20,23,-,-,25,25,25,-,-,3,7 ,23,16,25,20,17,2,1,,17,9,5,31,2,3,4,9,1,7,16,24,8,0,14,22,7,1,10,5,0,24,29
Men,2025,24,2025/6/24,Final_3-4,-,Manama,Bahrain,Qatar,Korea,3,0,25,25,25,-,-,21,20,23,-,-,ALL,31 ,74,44,65,49,35,12,2,,35,7,24,66,12,19,10,41,2,11,60,73,7,3,40,50,20,8,34,17,0,49,66
Men,2025,24,2025/6/24,Final_3-4,-,Manama,Bahrain,Qatar,Korea,3,0,25,25,25,-,-,21,20,23,-,-,1,11 ,25,14,21,17,14,3,0,,14,3,4,21,3,6,3,12,0,4,20,24,2,1,14,17,7,4,11,3,0,19,22
Men,2025,24,2025/6/24,Final_3-4,-,Manama,Bahrain,Qatar,Korea,3,0,25,25,25,-,-,21,20,23,-,-,2,11 ,24,14,21,17,12,3,2,,12,1,14,27,3,7,4,14,2,5,18,25,3,1,12,16,10,2,16,10,0,16,26
Men,2025,24,2025/6/24,Final_3-4,-,Manama,Bahrain,Qatar,Korea,3,0,25,25,25,-,-,21,20,23,-,-,3,9 ,25,16,23,15,9,6,0,,9,3,6,18,6,6,3,15,0,2,22,24,2,1,14,17,3,2,7,4,0,14,18
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Bahrain,Pakistan,3,1,23,25,25,25,-,25,16,17,18,-,ALL,40 ,97,58,77,73,56,8,9,,56,12,31,99,8,29,19,56,9,14,74,97,15,0,49,64,25,5,39,16,0,77,93
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Bahrain,Pakistan,3,1,23,25,25,25,-,25,16,17,18,-,1,6 ,24,17,24,16,13,1,2,,13,5,7,25,1,10,4,15,2,5,17,24,6,0,13,19,6,1,8,4,0,21,25
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Bahrain,Pakistan,3,1,23,25,25,25,-,25,16,17,18,-,2,13 ,24,12,17,19,14,2,3,,14,4,9,27,2,5,5,12,3,2,19,24,5,0,10,15,6,2,12,4,0,20,24
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Bahrain,Pakistan,3,1,23,25,25,25,-,25,16,17,18,-,3,12 ,25,13,17,17,12,3,2,,12,2,7,21,3,7,5,15,2,2,21,25,2,0,13,15,5,2,7,3,0,17,20
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Bahrain,Pakistan,3,1,23,25,25,25,-,25,16,17,18,-,4,9 ,24,16,19,21,17,2,2,,17,1,8,26,2,7,5,14,2,5,17,24,2,0,13,15,8,0,12,5,0,19,24
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Pakistan,Bahrain,1,3,25,16,17,18,-,23,25,25,25,-,ALL,19 ,77,57,97,55,47,8,0,,47,15,34,96,8,25,13,46,0,12,65,77,22,9,52,83,28,12,45,7,3,90,100
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Pakistan,Bahrain,1,3,25,16,17,18,-,23,25,25,25,-,1,7 ,24,18,24,19,14,5,0,,14,2,9,25,5,7,2,14,0,5,19,24,9,2,8,19,6,2,11,3,0,22,25
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Pakistan,Bahrain,1,3,25,16,17,18,-,23,25,25,25,-,2,5 ,17,11,24,10,9,1,0,,9,5,8,22,1,6,3,10,0,2,15,17,4,3,15,22,10,1,11,2,1,25,28
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Pakistan,Bahrain,1,3,25,16,17,18,-,23,25,25,25,-,3,4 ,17,13,25,13,12,1,0,,12,5,7,24,1,6,2,9,0,2,15,17,4,2,17,23,6,4,10,0,2,22,24
Men,2025,25,2025/6/24,Final_1-2,-,Manama,Bahrain,Pakistan,Bahrain,1,3,25,16,17,18,-,23,25,25,25,-,4,3 ,19,15,24,13,12,1,0,,12,3,10,25,1,6,6,13,0,3,16,19,5,2,12,19,6,5,13,2,0,21,23
Women,2025,1,2025/6/7,Pool_B,-,Hanoi,Vietnam,Kazakhstan,New Zealand,3,0,25,25,25,-,-,15,23,15,-,-,ALL,41 ,74,34,54,46,34,5,7,,34,12,38,84,5,7,17,29,7,12,55,74,16,3,29,48,36,7,56,1,1,80,82
Women,2025,1,2025/6/7,Pool_B,-,Hanoi,Vietnam,Kazakhstan,New Zealand,3,0,25,25,25,-,-,15,23,15,-,-,1,14 ,25,11,15,14,10,0,4,,10,6,11,27,0,2,3,5,4,4,17,25,4,0,8,12,14,0,15,0,0,25,25
Women,2025,1,2025/6/7,Pool_B,-,Hanoi,Vietnam,Kazakhstan,New Zealand,3,0,25,25,25,-,-,15,23,15,-,-,2,12 ,24,13,24,20,16,1,3,,16,4,17,37,1,4,4,9,3,5,16,24,7,2,15,24,15,3,26,1,0,36,37
Women,2025,1,2025/6/7,Pool_B,-,Hanoi,Vietnam,Kazakhstan,New Zealand,3,0,25,25,25,-,-,15,23,15,-,-,3,15 ,25,10,15,12,8,4,0,,8,2,10,20,4,1,10,15,0,3,22,25,5,1,6,12,7,4,15,0,1,19,20
Women,2025,1,2025/6/7,Pool_B,-,Hanoi,Vietnam,New Zealand,Kazakhstan,0,3,15,23,15,-,-,25,25,25,-,-,ALL,20 ,54,33,74,32,24,5,3,,24,27,49,100,5,9,15,29,3,6,45,54,10,7,45,62,37,13,67,2,1,92,95
Women,2025,1,2025/6/7,Pool_B,-,Hanoi,Vietnam,New Zealand,Kazakhstan,0,3,15,23,15,-,-,25,25,25,-,-,1,4 ,15,11,25,7,5,2,0,,5,7,15,27,2,1,5,8,0,3,12,15,3,4,14,21,9,4,17,0,1,25,26
Women,2025,1,2025/6/7,Pool_B,-,Hanoi,Vietnam,New Zealand,Kazakhstan,0,3,15,23,15,-,-,25,25,25,-,-,2,11 ,24,12,24,16,12,2,2,,12,6,17,35,2,5,8,15,2,0,22,24,4,3,12,19,12,7,29,0,0,32,32
Women,2025,1,2025/6/7,Pool_B,-,Hanoi,Vietnam,New Zealand,Kazakhstan,0,3,15,23,15,-,-,25,25,25,-,-,3,5 ,15,10,25,9,7,1,1,,7,14,17,38,1,3,2,6,1,3,11,15,3,0,19,22,16,2,21,2,0,35,37
Women,2025,2,2025/6/7,Pool_A,-,Hanoi,Vietnam,Australia,Chinese Taipei,0,3,18,9,20,-,-,25,25,25,-,-,ALL,-,-,-,-,33,26,6,1,,26,12,44,82,6,14,17,37,1,10,37,48,14,6,45,65,21,11,44,12,0,66,78
Women,2025,2,2025/6/7,Pool_A,-,Hanoi,Vietnam,Australia,Chinese Taipei,0,3,18,9,20,-,-,25,25,25,-,-,1,4 ,19,14,24,12,9,2,1,,9,4,14,27,2,4,5,11,1,3,14,18,6,2,13,21,11,4,15,3,0,22,25
Women,2025,2,2025/6/7,Pool_A,-,Hanoi,Vietnam,Australia,Chinese Taipei,0,3,18,9,20,-,-,25,25,25,-,-,2,-,-,-,-,6,4,2,0,,4,5,12,21,2,5,3,10,0,0,10,10,4,4,13,21,3,4,13,2,0,17,19
Women,2025,2,2025/6/7,Pool_A,-,Hanoi,Vietnam,Australia,Chinese Taipei,0,3,18,9,20,-,-,25,25,25,-,-,3,-,-,-,-,15,13,2,0,,13,3,18,34,2,5,9,16,0,7,13,20,4,0,19,23,7,3,16,7,0,27,34
Women,2025,2,2025/6/7,Pool_A,-,Hanoi,Vietnam,Chinese Taipei,Australia,3,0,25,25,25,-,-,18,9,20,-,-,ALL,-,-,-,-,53,43,2,8,,43,12,36,91,2,4,15,21,8,7,59,74,13,1,24,38,45,10,68,13,1,71,85
Women,2025,2,2025/6/7,Pool_A,-,Hanoi,Vietnam,Chinese Taipei,Australia,3,0,25,25,25,-,-,18,9,20,-,-,1,10 ,24,15,19,19,15,1,3,,15,5,13,33,1,1,8,10,3,3,19,25,6,1,8,15,16,4,21,6,0,24,30
Women,2025,2,2025/6/7,Pool_A,-,Hanoi,Vietnam,Chinese Taipei,Australia,3,0,25,25,25,-,-,18,9,20,-,-,2,-,-,-,-,19,14,0,5,,14,3,9,26,0,1,3,4,5,2,17,24,4,0,6,10,12,2,17,4,0,19,23
Women,2025,2,2025/6/7,Pool_A,-,Hanoi,Vietnam,Chinese Taipei,Australia,3,0,25,25,25,-,-,18,9,20,-,-,3,-,-,-,-,15,14,1,0,,14,4,14,32,1,2,4,7,0,2,23,25,3,0,10,13,17,4,30,3,1,28,32
Women,2025,3,2025/6/7,Pool_B,-,Hanoi,Vietnam,Philippines,Mongolia,3,0,25,25,25,-,-,18,16,14,-,-,ALL,39 ,73,36,50,56,45,6,5,,45,7,46,98,6,9,20,35,5,9,59,73,11,2,36,49,42,7,65,10,0,86,96
Women,2025,3,2025/6/7,Pool_B,-,Hanoi,Vietnam,Philippines,Mongolia,3,0,25,25,25,-,-,18,16,14,-,-,1,12 ,24,13,19,20,17,2,1,,17,1,23,41,2,7,8,17,1,3,20,24,4,0,15,19,17,1,26,4,0,36,40
Women,2025,3,2025/6/7,Pool_B,-,Hanoi,Vietnam,Philippines,Mongolia,3,0,25,25,25,-,-,18,16,14,-,-,2,14 ,25,11,16,18,12,4,2,,12,6,11,29,4,0,7,11,2,1,22,25,4,1,11,16,12,4,21,3,0,26,29
Women,2025,3,2025/6/7,Pool_B,-,Hanoi,Vietnam,Philippines,Mongolia,3,0,25,25,25,-,-,18,16,14,-,-,3,13 ,24,12,15,18,16,0,2,,16,0,12,28,0,2,5,7,2,5,17,24,3,1,10,14,13,2,18,3,0,24,27
Women,2025,3,2025/6/7,Pool_B,-,Hanoi,Vietnam,Mongolia,Philippines,0,3,18,16,14,-,-,25,25,25,-,-,ALL,14 ,50,34,73,36,30,4,2,,30,19,49,98,4,12,14,30,2,1,47,50,10,5,49,64,40,15,66,6,3,85,94
Women,2025,3,2025/6/7,Pool_B,-,Hanoi,Vietnam,Mongolia,Philippines,0,3,18,16,14,-,-,25,25,25,-,-,1,6 ,19,12,24,14,14,0,0,,14,6,18,38,0,5,7,12,0,0,19,19,7,1,13,21,20,4,28,2,0,36,38
Women,2025,3,2025/6/7,Pool_B,-,Hanoi,Vietnam,Mongolia,Philippines,0,3,18,16,14,-,-,25,25,25,-,-,2,5 ,16,11,25,13,8,4,1,,8,10,15,33,4,4,2,10,1,0,15,16,0,2,22,24,12,5,20,2,1,27,30
Women,2025,3,2025/6/7,Pool_B,-,Hanoi,Vietnam,Mongolia,Philippines,0,3,18,16,14,-,-,25,25,25,-,-,3,3 ,15,11,24,9,8,0,1,,8,3,16,27,0,3,5,8,1,1,13,15,3,2,14,19,8,6,18,2,2,22,26
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Iran,Indonesia,3,2,23,25,16,25,15,25,23,25,19,12,ALL,42 ,103,62,105,87,65,17,5,,65,21,93,179,17,23,32,72,5,13,86,104,16,6,77,99,80,18,118,10,1,167,178
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Iran,Indonesia,3,2,23,25,16,25,15,25,23,25,19,12,1,9 ,23,14,25,16,12,3,1,,12,8,20,40,3,7,5,15,1,1,21,23,5,0,18,23,20,5,30,3,1,41,45
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Iran,Indonesia,3,2,23,25,16,25,15,25,23,25,19,12,2,10 ,25,15,23,22,16,6,0,,16,4,17,37,6,4,4,14,0,4,21,25,3,2,18,23,14,3,19,0,0,34,34
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Iran,Indonesia,3,2,23,25,16,25,15,25,23,25,19,12,3,5 ,16,11,25,14,13,0,1,,13,4,22,39,0,5,7,12,1,3,12,16,1,3,20,24,13,4,25,1,0,35,36
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Iran,Indonesia,3,2,23,25,16,25,15,25,23,25,19,12,4,11 ,25,14,19,22,13,6,3,,13,3,9,25,6,6,2,14,3,4,18,25,3,1,13,17,9,3,14,4,0,23,27
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Iran,Indonesia,3,2,23,25,16,25,15,25,23,25,19,12,5,7 ,14,8,13,13,11,2,0,,11,2,25,38,2,1,14,17,0,1,14,15,4,0,8,12,24,3,30,2,0,34,36
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Indonesia,Iran,2,3,25,23,25,19,12,23,25,16,25,15,ALL,43 ,105,61,103,72,60,6,6,,60,27,92,179,6,18,25,49,6,5,93,104,9,4,77,90,82,18,121,4,0,176,180
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Indonesia,Iran,2,3,25,23,25,19,12,23,25,16,25,15,1,11 ,25,14,23,14,13,1,0,,13,7,25,45,1,3,5,9,0,2,23,25,3,1,18,22,17,3,28,2,0,42,44
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Indonesia,Iran,2,3,25,23,25,19,12,23,25,16,25,15,2,8 ,23,15,25,18,13,3,2,,13,8,13,34,3,3,3,9,2,0,21,23,2,0,19,21,12,6,22,2,0,32,34
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Indonesia,Iran,2,3,25,23,25,19,12,23,25,16,25,15,3,14 ,25,11,16,18,15,0,3,,15,1,15,31,0,5,6,11,3,1,21,25,0,1,12,13,20,4,26,0,0,35,35
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Indonesia,Iran,2,3,25,23,25,19,12,23,25,16,25,15,4,5 ,19,14,25,14,11,2,1,,11,7,9,27,2,4,1,7,1,2,16,19,3,2,15,20,8,2,13,0,0,25,25
Women,2025,4,2025/6/7,Pool_B,-,Hanoi,Vietnam,Indonesia,Iran,2,3,25,23,25,19,12,23,25,16,25,15,5,5 ,13,7,14,8,8,0,0,,8,4,30,42,0,3,10,13,0,0,12,12,1,0,13,14,25,3,32,0,0,42,42
Women,2025,5,2025/6/7,Pool_A,-,Hanoi,Vietnam,Vietnam,"Hong Kong, China",3,0,25,25,25,-,-,16,13,10,-,-,ALL,49 ,74,26,39,57,45,9,3,,45,10,40,95,9,12,24,45,3,1,70,74,7,1,29,37,59,4,71,5,4,88,97
Women,2025,5,2025/6/7,Pool_A,-,Hanoi,Vietnam,Vietnam,"Hong Kong, China",3,0,25,25,25,-,-,16,13,10,-,-,1,15 ,25,10,15,20,15,5,0,,15,4,16,35,5,7,6,18,0,0,25,25,2,0,13,15,21,0,23,3,3,31,37
Women,2025,5,2025/6/7,Pool_A,-,Hanoi,Vietnam,Vietnam,"Hong Kong, China",3,0,25,25,25,-,-,16,13,10,-,-,2,15 ,24,10,14,20,17,1,2,,17,3,12,32,1,3,7,11,2,1,21,24,3,1,9,13,18,2,23,2,0,30,32
Women,2025,5,2025/6/7,Pool_A,-,Hanoi,Vietnam,Vietnam,"Hong Kong, China",3,0,25,25,25,-,-,16,13,10,-,-,3,19 ,25,6,10,17,13,3,1,,13,3,12,28,3,2,11,16,1,0,24,25,2,0,7,9,20,2,25,0,1,27,28
Women,2025,5,2025/6/7,Pool_A,-,Hanoi,Vietnam,"Hong Kong, China",Vietnam,0,3,16,13,10,-,-,25,25,25,-,-,ALL,13 ,39,25,74,25,20,3,2,,20,22,65,107,3,12,19,34,2,2,36,40,6,3,64,73,40,20,68,3,3,100,106
Women,2025,5,2025/6/7,Pool_A,-,Hanoi,Vietnam,"Hong Kong, China",Vietnam,0,3,16,13,10,-,-,25,25,25,-,-,1,5 ,15,10,25,8,8,0,0,,8,7,20,35,0,2,5,7,0,1,15,16,1,0,24,25,14,7,22,1,2,32,35
Women,2025,5,2025/6/7,Pool_A,-,Hanoi,Vietnam,"Hong Kong, China",Vietnam,0,3,16,13,10,-,-,25,25,25,-,-,2,4 ,14,9,24,11,7,2,2,,7,5,20,32,2,5,7,14,2,0,12,14,3,2,18,23,12,9,24,0,1,31,32
Women,2025,5,2025/6/7,Pool_A,-,Hanoi,Vietnam,"Hong Kong, China",Vietnam,0,3,16,13,10,-,-,25,25,25,-,-,3,4 ,10,6,25,6,5,1,0,,5,10,25,40,1,5,7,13,0,1,9,10,2,1,22,25,14,4,22,2,0,37,39
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Kazakhstan,Mongolia,3,1,25,24,25,25,-,14,26,18,15,-,ALL,48 ,98,51,74,79,61,11,7,,61,15,56,132,11,15,31,57,7,10,81,98,16,5,48,69,57,10,86,7,2,118,127
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Kazakhstan,Mongolia,3,1,25,24,25,25,-,14,26,18,15,-,1,13 ,25,12,14,14,10,4,0,,10,4,10,24,4,5,6,15,0,0,25,25,4,0,8,12,10,1,16,1,1,21,23
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Kazakhstan,Mongolia,3,1,25,24,25,25,-,14,26,18,15,-,2,8 ,24,16,26,21,18,2,1,,18,6,20,44,2,6,12,20,1,2,21,24,5,2,17,24,21,5,31,0,0,42,42
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Kazakhstan,Mongolia,3,1,25,24,25,25,-,14,26,18,15,-,3,13 ,25,12,18,21,18,2,1,,18,1,13,32,2,3,6,11,1,3,21,25,2,3,12,17,16,3,24,4,1,30,35
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Kazakhstan,Mongolia,3,1,25,24,25,25,-,14,26,18,15,-,4,14 ,24,11,16,23,15,3,5,,15,4,13,32,3,1,7,11,5,5,14,24,5,0,11,16,10,1,15,2,0,25,27
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Mongolia,Kazakhstan,1,3,14,26,18,15,-,25,24,25,25,-,ALL,23 ,74,50,98,51,41,5,5,,41,24,72,137,5,24,19,48,5,5,64,74,24,7,57,88,57,13,86,11,1,126,138
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Mongolia,Kazakhstan,1,3,14,26,18,15,-,25,24,25,25,-,1,2 ,14,12,25,11,9,2,0,,9,12,14,35,2,3,4,9,0,2,12,14,5,0,20,25,11,1,15,6,1,26,33
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Mongolia,Kazakhstan,1,3,14,26,18,15,-,25,24,25,25,-,2,10 ,26,16,24,19,16,1,2,,16,3,28,47,1,10,7,18,2,2,22,26,7,1,14,22,22,2,29,3,0,43,46
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Mongolia,Kazakhstan,1,3,14,26,18,15,-,25,24,25,25,-,3,6 ,18,12,25,13,10,0,3,,10,5,17,32,0,6,3,9,3,1,14,18,6,1,15,22,10,4,21,2,0,33,35
Women,2025,6,2025/6/8,Pool_B,-,Hanoi,Vietnam,Mongolia,Kazakhstan,1,3,14,26,18,15,-,25,24,25,25,-,4,5 ,16,10,24,8,6,2,0,,6,4,13,23,2,5,5,12,0,0,16,16,6,5,8,19,14,6,21,0,0,24,24
Women,2025,7,2025/6/8,Pool_B,-,Hanoi,Vietnam,Philippines,Indonesia,3,1,22,25,25,28,-,25,23,13,26,-,ALL,50 ,99,50,88,77,56,12,9,,56,15,91,162,12,18,35,65,9,6,84,99,16,7,58,81,82,18,126,5,2,153,160
Women,2025,7,2025/6/8,Pool_B,-,Hanoi,Vietnam,Philippines,Indonesia,3,1,22,25,25,28,-,25,23,13,26,-,1,10 ,22,12,25,17,14,2,1,,14,4,28,46,2,7,13,22,1,1,21,23,6,0,15,21,23,6,36,3,0,45,48
Women,2025,7,2025/6/8,Pool_B,-,Hanoi,Vietnam,Philippines,Indonesia,3,1,22,25,25,28,-,25,23,13,26,-,2,13 ,25,12,23,20,13,5,2,,13,3,30,46,5,5,13,23,2,2,20,24,3,2,19,24,23,7,37,0,1,44,45
Women,2025,7,2025/6/8,Pool_B,-,Hanoi,Vietnam,Philippines,Indonesia,3,1,22,25,25,28,-,25,23,13,26,-,3,16 ,24,9,14,21,11,4,6,,11,1,14,26,4,2,3,9,6,0,19,25,2,1,8,11,18,3,24,2,1,23,26
Women,2025,7,2025/6/8,Pool_B,-,Hanoi,Vietnam,Philippines,Indonesia,3,1,22,25,25,28,-,25,23,13,26,-,4,11 ,28,17,26,19,18,1,0,,18,7,19,44,1,4,6,11,0,3,24,27,5,4,16,25,18,2,29,0,0,41,41
